Date,Price
28 Aug 2023,809
29 Aug 2023,809
30 Aug 2023,809
31 Aug 2023,809
01 Sep 2023,809
02 Sep 2023,809
03 Sep 2023,809
04 Sep 2023,809
05 Sep 2023,809
06 Sep 2023,809
07 Sep 2023,809
08 Sep 2023,809
09 Sep 2023,809
10 Sep 2023,809
11 Sep 2023,809
12 Sep 2023,809
13 Sep 2023,809
14 Sep 2023,809
15 Sep 2023,809
16 Sep 2023,809
17 Sep 2023,809
18 Sep 2023,809
19 Sep 2023,809
20 Sep 2023,809
21 Sep 2023,809
22 Sep 2023,809
23 Sep 2023,809
24 Sep 2023,809
25 Sep 2023,809
26 Sep 2023,809
27 Sep 2023,809
28 Sep 2023,809
29 Sep 2023,859
30 Sep 2023,859
01 Oct 2023,859
02 Oct 2023,854
03 Oct 2023,854
04 Oct 2023,858
05 Oct 2023,858
06 Oct 2023,853
07 Oct 2023,857
08 Oct 2023,809
09 Oct 2023,809
10 Oct 2023,809
11 Oct 2023,809
12 Oct 2023,809
13 Oct 2023,809
14 Oct 2023,809
15 Oct 2023,808
16 Oct 2023,809
17 Oct 2023,809
18 Oct 2023,808
19 Oct 2023,808
20 Oct 2023,808
21 Oct 2023,808
22 Oct 2023,808
23 Oct 2023,808
24 Oct 2023,808
25 Oct 2023,808
26 Oct 2023,808
27 Oct 2023,808
28 Oct 2023,808
29 Oct 2023,808
30 Oct 2023,808
31 Oct 2023,808
01 Nov 2023,808
02 Nov 2023,833
03 Nov 2023,833
04 Nov 2023,833
05 Nov 2023,833
06 Nov 2023,833
07 Nov 2023,833
08 Nov 2023,833
09 Nov 2023,833
10 Nov 2023,833
11 Nov 2023,833
12 Nov 2023,833
13 Nov 2023,833
14 Nov 2023,833
15 Nov 2023,833
16 Nov 2023,833
17 Nov 2023,833
18 Nov 2023,833
19 Nov 2023,833
20 Nov 2023,833
21 Nov 2023,833
22 Nov 2023,833
23 Nov 2023,833
24 Nov 2023,833
25 Nov 2023,833
26 Nov 2023,833
27 Nov 2023,833
28 Nov 2023,833
29 Nov 2023,833
30 Nov 2023,833
01 Dec 2023,833
02 Dec 2023,833
03 Dec 2023,833
04 Dec 2023,833
05 Dec 2023,833
06 Dec 2023,833
07 Dec 2023,899
08 Dec 2023,899
09 Dec 2023,899
10 Dec 2023,899
11 Dec 2023,899
12 Dec 2023,899
13 Dec 2023,899
14 Dec 2023,899
15 Dec 2023,899
16 Dec 2023,899
17 Dec 2023,899
18 Dec 2023,899
19 Dec 2023,899
20 Dec 2023,899
21 Dec 2023,899
22 Dec 2023,899
23 Dec 2023,899
24 Dec 2023,899
25 Dec 2023,899
26 Dec 2023,899
27 Dec 2023,899
28 Dec 2023,899
29 Dec 2023,899
30 Dec 2023,899
31 Dec 2023,899
01 Jan 2024,899
02 Jan 2024,899
03 Jan 2024,899
04 Jan 2024,899
05 Jan 2024,899
06 Jan 2024,899
07 Jan 2024,899
08 Jan 2024,899
09 Jan 2024,899
10 Jan 2024,899
11 Jan 2024,899
12 Jan 2024,899
13 Jan 2024,899
14 Jan 2024,899
15 Jan 2024,929
16 Jan 2024,929
17 Jan 2024,929
18 Jan 2024,929
19 Jan 2024,929
20 Jan 2024,929
21 Jan 2024,929
22 Jan 2024,929
23 Jan 2024,929
24 Jan 2024,929
25 Jan 2024,929
26 Jan 2024,929
27 Jan 2024,929
28 Jan 2024,929
29 Jan 2024,929
30 Jan 2024,929
31 Jan 2024,929
01 Feb 2024,929
02 Feb 2024,929
03 Feb 2024,929
04 Feb 2024,929
05 Feb 2024,929
06 Feb 2024,929
07 Feb 2024,929
08 Feb 2024,929
09 Feb 2024,929
10 Feb 2024,929
11 Feb 2024,929
12 Feb 2024,929
13 Feb 2024,929
14 Feb 2024,929
15 Feb 2024,929
16 Feb 2024,899
17 Feb 2024,899
18 Feb 2024,899
19 Feb 2024,899
20 Feb 2024,899
21 Feb 2024,899
22 Feb 2024,899
23 Feb 2024,899
24 Feb 2024,899
25 Feb 2024,899
26 Feb 2024,899
27 Feb 2024,899
28 Feb 2024,899
29 Feb 2024,899
01 Mar 2024,899
02 Mar 2024,899
03 Mar 2024,899
04 Mar 2024,899
05 Mar 2024,899
06 Mar 2024,899
07 Mar 2024,899
08 Mar 2024,899
09 Mar 2024,899
10 Mar 2024,899
11 Mar 2024,899
12 Mar 2024,899
13 Mar 2024,899
14 Mar 2024,899
15 Mar 2024,899
16 Mar 2024,899
17 Mar 2024,899
18 Mar 2024,899
19 Mar 2024,899
20 Mar 2024,899
21 Mar 2024,899
22 Mar 2024,899
23 Mar 2024,899
24 Mar 2024,899
25 Mar 2024,899
26 Mar 2024,899
27 Mar 2024,899
28 Mar 2024,899
29 Mar 2024,899
30 Mar 2024,899
31 Mar 2024,899
01 Apr 2024,899
02 Apr 2024,899
03 Apr 2024,899
04 Apr 2024,899
05 Apr 2024,909
06 Apr 2024,909
07 Apr 2024,909
08 Apr 2024,909
09 Apr 2024,909
10 Apr 2024,909
11 Apr 2024,909
12 Apr 2024,909
13 Apr 2024,929
14 Apr 2024,929
15 Apr 2024,929
16 Apr 2024,929
17 Apr 2024,929
18 Apr 2024,929
19 Apr 2024,929
20 Apr 2024,929
21 Apr 2024,929
22 Apr 2024,929
23 Apr 2024,929
24 Apr 2024,929
25 Apr 2024,929
26 Apr 2024,929
27 Apr 2024,929
28 Apr 2024,929
29 Apr 2024,929
30 Apr 2024,929
01 May 2024,929
02 May 2024,929
03 May 2024,929
04 May 2024,929
05 May 2024,929
06 May 2024,929
07 May 2024,929
08 May 2024,909
09 May 2024,859
10 May 2024,939
11 May 2024,939
12 May 2024,939
13 May 2024,939
14 May 2024,939
15 May 2024,939
16 May 2024,939
17 May 2024,939
18 May 2024,939
19 May 2024,939
20 May 2024,939
21 May 2024,939
22 May 2024,939
23 May 2024,939
24 May 2024,939
25 May 2024,939
26 May 2024,939
27 May 2024,939
28 May 2024,939
29 May 2024,939
30 May 2024,939
31 May 2024,939
01 Jun 2024,939
02 Jun 2024,939
03 Jun 2024,939
04 Jun 2024,939
05 Jun 2024,939
06 Jun 2024,939
07 Jun 2024,939
08 Jun 2024,939
09 Jun 2024,939
10 Jun 2024,939
11 Jun 2024,939
12 Jun 2024,939
13 Jun 2024,939
14 Jun 2024,939
15 Jun 2024,939
16 Jun 2024,939
17 Jun 2024,889
18 Jun 2024,889
19 Jun 2024,889
20 Jun 2024,889
21 Jun 2024,889
22 Jun 2024,889
23 Jun 2024,889
24 Jun 2024,889
25 Jun 2024,889
26 Jun 2024,889
27 Jun 2024,889
28 Jun 2024,889
29 Jun 2024,889
30 Jun 2024,889
01 Jul 2024,889
02 Jul 2024,889
03 Jul 2024,889
04 Jul 2024,889
05 Jul 2024,889
06 Jul 2024,889
07 Jul 2024,889
08 Jul 2024,889
09 Jul 2024,889
10 Jul 2024,889
11 Jul 2024,889
12 Jul 2024,889
13 Jul 2024,889
14 Jul 2024,889
15 Jul 2024,889
16 Jul 2024,889
17 Jul 2024,889
18 Jul 2024,889
19 Jul 2024,889
20 Jul 2024,889
21 Jul 2024,889
22 Jul 2024,889
23 Jul 2024,889
24 Jul 2024,889
25 Jul 2024,889
26 Jul 2024,939
27 Jul 2024,939
28 Jul 2024,939
29 Jul 2024,939
30 Jul 2024,939
31 Jul 2024,929
01 Aug 2024,929
02 Aug 2024,929
03 Aug 2024,929
04 Aug 2024,929
05 Aug 2024,929
06 Aug 2024,929
07 Aug 2024,889
08 Aug 2024,889
09 Aug 2024,889
10 Aug 2024,889
11 Aug 2024,889
12 Aug 2024,889
13 Aug 2024,889
14 Aug 2024,939
15 Aug 2024,939
16 Aug 2024,939
17 Aug 2024,939
18 Aug 2024,939
19 Aug 2024,939
20 Aug 2024,939
21 Aug 2024,939
22 Aug 2024,939
23 Aug 2024,939
24 Aug 2024,939
25 Aug 2024,939
26 Aug 2024,939
27 Aug 2024,939
28 Aug 2024,939
29 Aug 2024,939
30 Aug 2024,889
31 Aug 2024,889
01 Sep 2024,889
02 Sep 2024,889
03 Sep 2024,889
04 Sep 2024,889
05 Sep 2024,889
06 Sep 2024,889
07 Sep 2024,889
08 Sep 2024,889
09 Sep 2024,889
10 Sep 2024,889
11 Sep 2024,889
12 Sep 2024,889
13 Sep 2024,889
14 Sep 2024,889
15 Sep 2024,889
16 Sep 2024,889
17 Sep 2024,889
18 Sep 2024,889
19 Sep 2024,889
20 Sep 2024,889
21 Sep 2024,889
22 Sep 2024,889
23 Sep 2024,889
24 Sep 2024,889
25 Sep 2024,889
26 Sep 2024,889
27 Sep 2024,829
28 Sep 2024,829
29 Sep 2024,829
30 Sep 2024,829
01 Oct 2024,829
02 Oct 2024,829
03 Oct 2024,829
04 Oct 2024,829
05 Oct 2024,829
06 Oct 2024,829
07 Oct 2024,829
08 Oct 2024,829
09 Oct 2024,829
10 Oct 2024,829
11 Oct 2024,829
12 Oct 2024,829
13 Oct 2024,829
14 Oct 2024,829
15 Oct 2024,829
16 Oct 2024,829
17 Oct 2024,829
18 Oct 2024,829
19 Oct 2024,829
20 Oct 2024,829
21 Oct 2024,829
22 Oct 2024,829
23 Oct 2024,829
24 Oct 2024,829
25 Oct 2024,829
26 Oct 2024,829
27 Oct 2024,829
28 Oct 2024,829
29 Oct 2024,889
30 Oct 2024,889
31 Oct 2024,889
01 Nov 2024,889
02 Nov 2024,889
03 Nov 2024,889
04 Nov 2024,889
05 Nov 2024,889
06 Nov 2024,889
07 Nov 2024,889
08 Nov 2024,889
09 Nov 2024,889
10 Nov 2024,889
11 Nov 2024,889
12 Nov 2024,889
13 Nov 2024,889
14 Nov 2024,889
15 Nov 2024,889
16 Nov 2024,889
17 Nov 2024,889
18 Nov 2024,889
19 Nov 2024,889
20 Nov 2024,889
21 Nov 2024,889
22 Nov 2024,889
23 Nov 2024,889
24 Nov 2024,889
25 Nov 2024,889
26 Nov 2024,849
27 Nov 2024,849
28 Nov 2024,799
29 Nov 2024,799
30 Nov 2024,799
01 Dec 2024,799
02 Dec 2024,889
03 Dec 2024,889
04 Dec 2024,849
05 Dec 2024,849
06 Dec 2024,849
07 Dec 2024,849
08 Dec 2024,849
09 Dec 2024,849
10 Dec 2024,889
11 Dec 2024,889
12 Dec 2024,829
13 Dec 2024,829
14 Dec 2024,829
15 Dec 2024,829
16 Dec 2024,829
17 Dec 2024,799
18 Dec 2024,799
19 Dec 2024,799
20 Dec 2024,799
21 Dec 2024,799
22 Dec 2024,799
23 Dec 2024,799
24 Dec 2024,829
25 Dec 2024,829
26 Dec 2024,829
27 Dec 2024,829
28 Dec 2024,829
29 Dec 2024,829
30 Dec 2024,829
31 Dec 2024,829
01 Jan 2025,829
02 Jan 2025,829
03 Jan 2025,829
04 Jan 2025,829
05 Jan 2025,829
06 Jan 2025,829
07 Jan 2025,829
08 Jan 2025,829
09 Jan 2025,779
10 Jan 2025,779
11 Jan 2025,779
12 Jan 2025,779
13 Jan 2025,779
14 Jan 2025,779
15 Jan 2025,779
16 Jan 2025,779
17 Jan 2025,779
18 Jan 2025,779
19 Jan 2025,779
20 Jan 2025,829
21 Jan 2025,829
22 Jan 2025,829
23 Jan 2025,829
24 Jan 2025,829
25 Jan 2025,829
26 Jan 2025,829
27 Jan 2025,829
28 Jan 2025,829
29 Jan 2025,829
30 Jan 2025,829
31 Jan 2025,829
01 Feb 2025,829
02 Feb 2025,829
03 Feb 2025,829
04 Feb 2025,829
05 Feb 2025,829
06 Feb 2025,829
07 Feb 2025,829
08 Feb 2025,829
09 Feb 2025,829
10 Feb 2025,829
11 Feb 2025,829
12 Feb 2025,829
13 Feb 2025,829
14 Feb 2025,829
15 Feb 2025,829
16 Feb 2025,829
17 Feb 2025,829
18 Feb 2025,829
19 Feb 2025,829
20 Feb 2025,829
21 Feb 2025,799
22 Feb 2025,799
23 Feb 2025,799
24 Feb 2025,799
25 Feb 2025,799
26 Feb 2025,799
27 Feb 2025,799
28 Feb 2025,799
01 Mar 2025,829
02 Mar 2025,829
03 Mar 2025,829
04 Mar 2025,829
05 Mar 2025,829
06 Mar 2025,829
07 Mar 2025,829
08 Mar 2025,829
09 Mar 2025,829
10 Mar 2025,829
11 Mar 2025,829
12 Mar 2025,829
13 Mar 2025,829
14 Mar 2025,829
15 Mar 2025,829
16 Mar 2025,829
17 Mar 2025,829
18 Mar 2025,829
19 Mar 2025,829
20 Mar 2025,799
21 Mar 2025,799
22 Mar 2025,799
23 Mar 2025,799
24 Mar 2025,799
25 Mar 2025,799
26 Mar 2025,799
27 Mar 2025,829
28 Mar 2025,829
29 Mar 2025,829
30 Mar 2025,829
31 Mar 2025,829
01 Apr 2025,919
02 Apr 2025,829
03 Apr 2025,829
04 Apr 2025,829
05 Apr 2025,829
06 Apr 2025,829
07 Apr 2025,829
08 Apr 2025,829
09 Apr 2025,1303
10 Apr 2025,1303
11 Apr 2025,829
12 Apr 2025,829
13 Apr 2025,829
14 Apr 2025,829
15 Apr 2025,829
16 Apr 2025,839
17 Apr 2025,839
18 Apr 2025,839
19 Apr 2025,839
20 Apr 2025,839
21 Apr 2025,839
22 Apr 2025,839
23 Apr 2025,839
24 Apr 2025,839
25 Apr 2025,839
26 Apr 2025,839
27 Apr 2025,839
28 Apr 2025,839
29 Apr 2025,839
30 Apr 2025,839
01 May 2025,839
02 May 2025,839
03 May 2025,839
04 May 2025,839
05 May 2025,839
06 May 2025,839
07 May 2025,839
08 May 2025,839
09 May 2025,839
10 May 2025,839
11 May 2025,839
12 May 2025,839
13 May 2025,839
14 May 2025,839
15 May 2025,839
16 May 2025,839
17 May 2025,839
18 May 2025,839
19 May 2025,839
20 May 2025,839
21 May 2025,839
22 May 2025,839
23 May 2025,839
24 May 2025,839
25 May 2025,839
26 May 2025,839
27 May 2025,839
28 May 2025,839
29 May 2025,839
30 May 2025,839
31 May 2025,839
01 Jun 2025,839
02 Jun 2025,839
03 Jun 2025,839
04 Jun 2025,839
05 Jun 2025,839
06 Jun 2025,839
07 Jun 2025,839
08 Jun 2025,839
09 Jun 2025,839
10 Jun 2025,839
11 Jun 2025,839
12 Jun 2025,797
13 Jun 2025,839
14 Jun 2025,839
15 Jun 2025,839
16 Jun 2025,839
17 Jun 2025,839
18 Jun 2025,839
19 Jun 2025,839
20 Jun 2025,793
21 Jun 2025,839
22 Jun 2025,839
23 Jun 2025,839
24 Jun 2025,839
25 Jun 2025,839
26 Jun 2025,839
27 Jun 2025,839
